order_id,region,product,units,revenue
1090,South,Gizmo,3,3351.61
1091,South,Gadget,9,243.97
1092,East,Widget,23,1129.38
1093,South,Gizmo,7,1466.42
1094,West,Gizmo,48,943.04
1095,South,Widget,12,3535.15
1096,North,Widget,48,6018.98
1097,West,Gizmo,48,4479.94
1098,East,Widget,45,629.67
1099,North,Gadget,15,1401.28
1100,West,Gadget,20,4532.69
1101,South,Widget,2,2667.33
1102,West,Gadget,18,4768.86
1103,East,Gadget,42,2596.09
1104,East,Widget,8,4397.49
1105,East,Widget,38,4816.42
1106,East,Widget,7,3023.2
1107,East,Gizmo,21,2238.33
1108,North,Gadget,37,1340.8
1109,North,Gizmo,28,140.77
1110,South,Gadget,28,354.3
1111,East,Gizmo,21,3350.6
1112,North,Gizmo,20,3360.37
1113,West,Gadget,26,3867.95
1114,South,Widget,27,2686.52
1115,West,Gizmo,48,4976.12
1116,East,Gadget,36,4185.25
1117,East,Gadget,14,2206.45
1118,East,Gadget,29,2266.58
1119,South,Gizmo,31,3191.44
1120,South,Gizmo,6,1192.44
1121,East,Widget,49,1250.86
1122,East,Widget,13,822.03
1123,North,Widget,31,4023.82
1124,North,Gadget,27,5774.69
1125,South,Gizmo,45,1585.2
1126,West,Widget,10,3646.15
1127,North,Widget,50,2838.18
1128,South,Gizmo,34,1901.04
1129,South,Widget,30,602.69
1130,West,Gizmo,34,5434.74
1131,East,Gadget,40,4093.53
1132,West,Gizmo,29,4945.95
1133,West,Gadget,17,4162.08
1134,East,Gizmo,32,3171.07
1135,East,Gadget,5,3596.37
1136,South,Gadget,22,1333.26
1137,North,Widget,10,1603.14
1138,South,Gizmo,14,331.78
1139,West,Gadget,35,2621.33
1140,North,Widget,27,2610.97
1141,North,Gizmo,25,3168.36
1142,East,Gadget,49,2010.93
1143,West,Gizmo,48,4069.68
1144,South,Gadget,15,1149.91
1145,West,Widget,25,1921.74
1146,West,Gizmo,11,4640.33
1147,South,Gizmo,35,185.71
1148,West,Gizmo,37,3683.57
1149,North,Gizmo,28,994.41
1150,West,Widget,4,1512.24
1151,East,Widget,30,1701.54
1152,West,Gadget,49,5236.99
1153,West,Gadget,6,2644.95
1154,North,Gadget,15,4271.42
1155,North,Widget,16,1399.93
1156,North,Gizmo,10,1649.53
1157,West,Gizmo,8,3149.8
1158,South,Gadget,45,1084.48
1159,East,Widget,39,3075.51
1160,North,Widget,20,818.59
1161,North,Gadget,37,4444.7
1162,West,Gadget,46,1179.0
1163,South,Widget,45,3108.13
1164,North,Gizmo,3,2341.69
1165,West,Gizmo,24,481.68
1166,East,Widget,27,4129.42
1167,North,Gadget,24,4178.68
1168,West,Gizmo,10,2457.28
1169,East,Gizmo,35,3895.74
1170,West,Gadget,47,3303.44
1171,East,Widget,6,1466.75
1172,West,Widget,49,2614.78
1173,West,Gadget,2,2774.31
1174,East,Widget,32,1139.39
1175,East,Gadget,18,4413.57
1176,East,Gizmo,1,2631.47
1177,South,Widget,16,2902.69
1178,West,Gizmo,49,1405.35
1179,West,Gizmo,46,2755.53
1180,North,Widget,19,1541.57
1181,South,Gadget,43,2359.7
1182,West,Gizmo,34,1962.85
1183,East,Gadget,45,2323.35
1184,East,Gadget,15,691.21
1185,South,Gadget,8,2992.09
1186,South,Widget,14,2975.33
1187,East,Gizmo,38,4885.37
1188,East,Widget,13,1551.61
1189,East,Widget,20,169.33
1190,South,Gadget,3,3899.24
1191,East,Gizmo,9,3225.56
1192,West,Widget,1,3204.21
1193,West,Gadget,29,1946.4
1194,North,Gadget,31,856.74
1195,North,Gadget,32,601.9
1196,North,Widget,10,5296.98
1197,East,Widget,16,680.41
1198,West,Gizmo,39,4372.09
1199,South,Gizmo,25,1846.02
1200,West,Gadget,38,5446.27
1001,North,Widget,48,1881.94
1002,South,Widget,48,481.78
1003,North,Gizmo,28,332.46
1004,North,Widget,15,3349.11
1005,North,Gizmo,13,4691.04
